● Obtenir le profit total obtenu par région du monde.

hadoop jar sales.jar org.hadoop.sales.SalesDriver TotalProfit Region /data_input/sales_world_10k.csv /results_profit_region

Asia	5.874032968500012E8
Australia and Oceania	3.240712114099996E8
Central America and the Caribbean	4.033578497199999E8
Europe	1.0269996127999994E9
Middle East and North Africa	5.099238945300005E8
North America	9.94955151199999E7
Sub-Saharan Africa	9.996420915000008E8

● Obtenir le profit total obtenu par pays.

hadoop jar sales.jar org.hadoop.sales.SalesDriver TotalProfit Country /data_input/sales_world_10k.csv /results_profit_country

Afghanistan	2.2977020060000002E7
Albania	1.9583969700000003E7
Algeria	2.212588664E7
Andorra	1.665393687E7
Angola	1.9596150580000002E7
Antigua and Barbuda 	1.779297941E7
Armenia	1.550988729E7
Australia	2.2393836800000004E7
Austria	2.6799045639999993E7
Azerbaijan	2.5826708000000007E7
Bahrain	2.7517228200000003E7
Bangladesh	2.809272077000001E7
Barbados	1.9091685049999993E7
Belarus	1.8612786009999998E7
Belgium	1.9992722340000004E7
Belize	1.4384763700000003E7
Benin	2.2273920679999996E7
Bhutan	2.3833769240000002E7
Bosnia and Herzegovina	2.407048658000001E7
Botswana	2.901972667E7
Brunei	2.1198560200000003E7
Bulgaria	2.078788873E7
Burkina Faso	2.3363130600000005E7
Burundi	2.7911293450000003E7
Cambodia	2.3744162889999997E7
Cameroon	1.9125131249999996E7
Canada	2.688095479999999E7
Cape Verde	1.438330352E7
Central African Republic	1.8990655549999993E7
Chad	2.2863353099999998E7
China	2.470801572E7
Comoros	1.767049147E7
Costa Rica	1.893188928E7
Cote d'Ivoire	1.4521698839999998E7
Croatia	2.6096999840000004E7
Cuba	1.78887758E7
Cyprus	2.1441456669999994E7
Czech Republic	1.9679058240000002E7
Democratic Republic of the Congo	2.043370579E7
Denmark	2.3120649289999995E7
Djibouti	1.8127339100000005E7
Dominica	1.995353613E7
Dominican Republic	1.808234846999999E7
East Timor	1.5514056290000005E7
Egypt	2.4253082979999997E7
El Salvador	2.666133333E7
Equatorial Guinea	1.5561670409999993E7
Eritrea	2.080587541E7
Estonia	1.9139460850000005E7
Ethiopia	2.6936729400000002E7
Federated States of Micronesia	2.423129253E7
Fiji	2.3738722650000002E7
Finland	2.30664952E7
